id,idiom,definition,positive,negative,other
127,heart misses a beat,To have sudden feeling of fear or excitement.,0,0,100
128,heebie-jeebies,"A state of apprehension, nervousness or anxiety.",0,100,0
129,hold someone's breath,To wait anxiously or excitedly for something to happen or be announced.,40,0,60
130,"if you can't stand the heat, get out of the kitchen","This expression means that if you feel that there is too much pressure, you can leave.",0,80,20
131,ignorance is bliss,"This means that if you don't know about a problem or unpleasant fact, you won't worry about it.",40,0,60
132,get/have the jitters,To become very nervous or anxious and begin to shake.,0,100,0
133,have kittens,"A dramatic way of expressing worry, anxiety or fear.",0,100,0
134,nerves of steel,To not be afraid in difficult or dangerous situations.,100,0,0
135,pins and needles,To be very anxious or nervous about what is going to happen.,0,80,20
136,quaking in someone's boots,"When someone is extremely scared, it is said that they arequaking in their boots.",0,100,0
137,scare out of someone's wits,To be very frightened or worried.,0,100,0
138,scare daylights out of,To be terrified.,0,100,0
139,scared stiff,To be so frightened that you're unable to move.,0,100,0
140,shake like a leaf,To tremble with fear or nervousness.,0,100,0
141,on tenterhooks,To be in a state of anxious suspense or excitement.,0,80,20
142,tongue-tied,To have difficulty in expressing yourself because you are nervous or embarrassed.,0,80,20
143,whistle in the dark,To try to hide your fear in a scary or dangerous situation.,0,80,20
144,at someone's wit's end,To be very worried about something and do not know what to do.,0,100,0
145,ants in someone's pants,To be very restless or excited about something.,20,0,80
146,champ at the bit,"To be ready and eager to start an activity, and to show impatience at being delayed.",40,20,40
147,dial it back,"To reduce the intensity of something, or tone it down.",40,0,60
148,bright-eyed and bushy-tailed,To be very enthusiastic and full of energy.,100,0,0
149,cause a stir,To create an atmosphere of excitement or great interest.,40,0,60
150,do nothing by halves,When a person does everything they are engaged in completely and thoroughly.,100,0,0
151,eager beaver,"A person who is hardworking and enthusiastic, sometimes considered overzealous.",60,0,40
152,"eat, sleep and breathe something",To be enthusiastic and passionate about something that you think about it constantly.,80,0,20
154,fever pitch,A very intense and exciting situation.,60,0,40
155,fling someone into,To do an activity with a lot of energy and enthusiasm.,100,0,0
156,go the extra mile,To do more than what is expected of you.,100,0,0
157,hold someone's horses,To think someone is doing something too fast and should slow down and not rush into further action.,0,60,40
158,lick someone's lips,To show that you're excited about something and are eager for it to happen.,100,0,0
159,put someone's heart into,To  be very enthusiastic and invest a lot of energy and hard work in something.,100,0,0
160,raring to go,To be very eager and enthusiastic about the idea of doing something.,100,0,0
161,bare your heart (or soul) to someone,To reveal your innermost thoughts and feelings to someone.,40,0,60
162,bear the brunt,To suffer the most when something bad or unpleasant happens.,0,100,0
163,bent out of shape,To become annoyed or upset about something that is usually not that important or cannot be avoided.,0,100,0
164,beside someone (with emotion),To lose your self-control because of the intensity of the emotion you are feeling.,0,60,40
165,bored to tears,To find something so dull and uninteresting that it makes you sad enough to cry.,0,100,0
166,carry the torch for,To have strong feelings for someone with whom you do not or cannot have a relationship.,100,0,0
167,wouldn't be caught/seen dead,To be too ashamed or embarrassed of something.,0,100,0
168,chip on someone's shoulder,"To feel resentful because you feel someone is being treated unfairly, especially because of their background, their sex or their colour.",0,100,0
169,close to home,"A remark or comment so true, or it affects you so directly, that you feel uncomfortable.",0,100,0
170,come apart at the seams,To be extremely upset or under severe mental stress.,0,100,0
171,cork up something,To fail to show or express feelings or emotions.,0,80,20
172,cut to the quick,To hurt someone's feelings or offend them deeply.,0,100,0
173,deep down,"If you talk about how someone is, or feels, deep down, you are describing what they are like or what they really feel deep inside, behind the outward appearance.",20,0,80
174,fish out of water,To feel uncomfortable in unfamiliar surroundings.,0,100,0
175,fit of pique,"Someone who reacts by showing their resentment or annoyance when their pride has been wounded, or they feel insulted.",0,100,0
176,Freudian slip,A mistake made by a speaker which is considered to reveal their true thoughts or feelings.,0,60,40
177,have someone's heart in the right place,"A person who has their heart in the right place has kind feelings and good intentions, even if the results are not too good.",100,0,0
178,get a grip on one's self,To try to control your feelings so as to be able to deal with a situation.,20,60,20
179,get it out of someone's system,This expression means that you get rid of a strong emotion or desire by expressing it openly or trying to fulfill it.,40,0,60
180,get worked up,"To become upset, annoyed or excited, often unnecessarily.",0,80,20
181,go to pieces,To become so upset or distressed that you cannot lead a normal life.,0,100,0
182,groan inwardly,"To feel like expressing despair, disapproval or distress, but you remain silent.",0,100,0
183,guilty pleasure,"Enjoying something which is not generally held in high regard, while at the same time feeling a bit guilty about it.",20,20,60
184,hard as nails,To be unsentimental and show no sympathy.,0,80,20
185,head over heels in love,When a person falls passionately in love with another.,100,0,0
186,change of heart,"To change your attitude or feelings, especially towards greater friendliness or cooperation.",40,0,60
187,couldn't give a hoot,To not care at all about something.,20,0,80
188,keep a stiff upper lip,To contain your emotion and do not let other people see your feelings.,40,0,60
189,lick someone's wounds,"To try to recover your confidence or spirit after a defeat, failure or disappointment.",0,80,20
190,look on the bright side,To view a mostly unpleasant situation in a positive and optimistic way and the see the favourable aspects.,100,0,0
191,"love me, love my dog","This expression means that if someone loves you, they must love everything about you, including everyone and everything you love.",40,0,60
192,lump in someone's throat,To have a tight feeling in your throat because of a strong emotion such as sadness or gratitude.,0,60,40
193,makes someone's ears burn,"To be embarrassed by what you hear, especially if the conversation is about you.",0,80,20
194,makes someone's flesh crawl,To fill you with disgust or make you feel very nervous.,0,100,0
195,mixed feelings,To react to something with conflicting emotions; you are happy and unhappy at the same time.,0,20,80
196,no hard feelings,To feel no resentment or bitterness about something.,80,0,20
197,not give a hang,To be totally indifferent to it and do not care at all about it.,0,20,80
198,not turn a hair,To show no emotion in circumstances where a reaction is expected.,0,20,80
199,nose out of joint,To offends or annoy.,0,100,0
200,open old wounds,"To revive memories of an unpleasant event, situation or dispute that took place in the past.",0,100,0
201,pour someone's heart out,To express your feelings freely.,20,0,80
202,proud as a peacock,To be extremely proud.,100,0,0
203,pleased as punch,To be delighted or feels very satisfied about something.,100,0,0
204,put foot in mouth,"To say something that offends, upsets or embarrasses someone.",0,100,0
205,reduce to tears,When your behaviour or attitude makes someone cry.,0,100,0
206,regain one's composure,To calm down and control your emotions again after a stressful or upsetting event.,80,0,20
207,save face,To avoid humiliation or embarrassment and preserve dignity and the respect of others.,60,40,0
208,have a soft spot,To like someone.,100,0,0
209,speak volumes,"To express a reaction or opinion very clearly, with no need for words.",20,0,80
210,let off steam,To release surplus energy or strong feelings either through intense physical activity or by talking in an unrestrained manner.,40,0,60
212,in a stew,To be worried and agitated.,0,100,0
213,a stitherum,"Someone who is (all) in a stitherum is excited, agitated or confused about something.",0,0,100
214,strike a raw nerve,To upset someone because they are very sensitive about the subject.,0,100,0
215,swallow someone's pride,To accept something humiliating or embarrassing.,20,60,20
216,sweet nothings,Pleasant but unimportant words that lovers say to each other.,100,0,0
217,take a fancy,To develop a fondness for someone or begin to like them.,100,0,0
218,take a load/weight off someone's mind,To bring great relief because a problem has been solved.,100,0,0
219,tear someone's hair out,To be extremely agitated or distressed about something.,0,100,0
220,wear someone's heart on someone's sleeve,To allow others to see your emotions or feelings.,20,0,80
221,wish the ground would swallow someone up,When you are so embarrassed by something that you would like to disappear.,0,100,0
223,thank someone's lucky stars,To express heartfelt gratitude or feeling particularly fortunate.,100,0,0
224,think the sun rises and sets on someone,To think the sun rises and sets on someone.,80,20,0
225,think the world of,To admire someone very much.,100,0,0
226,thinly veiled,"If something such as a feeling or reaction is thinly veiled, it is barely hidden.",0,0,100
227,tug at the heartstrings,To cause others to feel a great deal of pity or sadness.,0,80,20
228,weak at the knees,"To barely be able to stand because of emotion, fear or illness.",0,60,40
229,be/mean the world to someone,To be very precious to someone.,100,0,0
230,written all over face,When someone's feelings or thoughts are very clear.,0,20,80
231,with bells on,To be delighted and eager to go somewhere.,100,0,0
232,blow away the cobwebs,To feel more lively and refresh your ideas.,100,0,0
233,chill out,"When people chill out, often after a period of heavy work or nervous tension, they do something that helps them to calm down and relax for a while.",100,0,0
234,in someone's element,"To do something that you do well, and you are enjoying yourself.",100,0,0
235,feast someone's eyes on,To be delighted and gratified by what you see.,100,0,0
236,footloose and fancy-free,To have few responsibilities or  commitments of any kind and feel free to do as they please.,100,0,0
237,in full swing,"When something, such as an event, gets into full swing, it is at its busiest or liveliest time.",60,0,40
238,full of the joys of spring,"To be happy, enthusiastic and full of energy.",100,0,0
240,have a ball,To enjoy yourself immensely.,100,0,0
241,have the time of someone's life,To enjoy yourself very much.,100,0,0
242,have a whale of a time,To  enjoy themselves a lot.,100,0,0
243,let your hair down,Suggest to someone to relax and enjoy themselves.,100,0,0
244,life and soul of the party,The life and soul of the party is the most lively and amusing person present at an event.,100,0,0
245,live the life of Riley,"A person who lives the life of Riley has a comfortable and enjoyable life, without having to make much effort.",100,0,0
246,more fun than a barrel of monkeys,If something is very amusing or enjoyable.,100,0,0
247,paint the town red,"To go out and enjoy a lively evening in bars, night-clubs, etc.",100,0,0
248,party is over,"When the period of happiness, freedom, enjoyment etc. has come to an end, and life is going to return to normal.",0,80,20
249,pulling someone's leg,To tease someone by telling them something that is not true.,40,0,60
250,pull the other one,"After hearing an unlikely story, this is a way of telling the speaker that you neither believe what they say nor whatever they may say next.",20,60,20
251,punch line,The punch line is the funny sentence that ends a joke or an amusing story.,80,0,20
252,ring out the old year and ring in the new,This expression means to announce and celebrate the end of one year and the beginning of the next.,60,0,40
253,social butterfly,A person who has a lot of friends and acquaintances and likes to flit from one social event to another.,100,0,0
254,sow one's wild oats,"A person, usually a man, who sows their wild oats goes through a period of carefree pleasure-seeking while they are young.",60,0,40
255,take it easy,"When you relax, or do things at a comfortable pace, you take it easy.",100,0,0
256,tickle the ivories,This is a humorous way of talking about playing the piano.,40,0,60
257,wet the baby's head,To have drink to celebrate the birth of a baby.,100,0,0
258,the world is someone's oyster,To be free and able to enjoy the pleasures and opportunities that life has to offer.,100,0,0
259,on cloud nine,To be very happy because something wonderful has happened.,100,0,0
260,cry someone's eyes out,To cry a lot and for a long time.,0,80,20
261,like a dog with two tails,To be extremely happy.,100,0,0
262,down in the dumps,To be depressed or feeling gloomy.,0,100,0
263,down in the mouth,"To look unhappy, discouraged or depressed.",0,100,0
264,face like a wet week-end,To look sad and miserable.,0,100,0
265,fool's paradise,To be in a state of contentment that will not last because their happiness is based on illusion or false hope.,20,80,0
267,grin from ear to ear,To look vey satisfied and happy.,100,0,0
268,grin like a Cheshire cat,When someone has a smile on their face because they are happy or satisfied about something.,100,0,0
269,happy camper,To be content or satisfied with what is happening in your lifes and have no complaints.,100,0,0
270,happy as a flea in a doghouse,To be  very happy and content.,100,0,0
271,happy as Larry,To be very happy indeed.,100,0,0
272,happy-go-lucky,To be cheerful and carefree all the time.,100,0,0
273,someone's heart sinks,To feel very unhappy and despondent.,0,100,0
274,jump for joy,To expresshappiness through excited movements and gestures.,100,0,0
275,life is just a bowl of cherries,This expression means that life is pleasant and uncomplicated.,100,0,0
276,music to someone's ears,When the information that you receive makes you feel very happy.,100,0,0
277,never looked back,"After an event which changed your life for the better, you continue to be happy with the situation.",100,0,0
278,over the moon,To be very happy about something.,100,0,0
280,in raptures,To be delighted or very enthusiastic.,100,0,0
281,stars in someone's eyes,To looking extremely happy.,100,0,0
282,in seventh heaven,To be extremely happy.,100,0,0
283,in stitches,To laugh a lot.,100,0,0
284,thrilled to bits,To be extremely pleased about something.,100,0,0
285,tickled pink,To be very pleased about something.,100,0,0
287,on top of the world,To be extremely happy because everything is going well.,100,0,0
288,walking on air,When you are happy and excited because of a pleasant event that makes you feel as if you are floating.,100,0,0
289,whatever floats someone's boat,"Although you don't quite agree with someone, it's their choice and you think they should so whatever makes them happy.",40,20,40
290,away with the fairies,To be in a dreamy state so that you're not totally in touch with reality and give the impression of being slightly mad.,40,0,60
291,go bananas,If someone becomes very emotional and starts behaving in a crazy way.,0,80,20
292,basket case,A person whose agitated mental state leaves them helpless or unable to cope with things.,0,100,0
293,bats in the belfry,To be crazy.,0,60,40
294,to go out of someone's mind,"To be crazy, foolish or insane.",0,60,40
295,harebrained idea,"An idea or suggestion that is considered to be silly, foolish or totally impractical.",0,100,0
296,"the lights are on, but no one is home","This is a humorous way of referring to someone who is lacking intelligence or sanity, or to someone who is simply preoccupied and not paying attention.",0,60,40
297,lose someone's marbles,"To become mentally confused, or no longer behave sensibly or rationally.",0,60,40
298,not all there,"To behave strangely at times, or seems a bit odd.",0,60,40
299,not in someone's right mind,To not behave in a logical or sensible way.,0,100,0
300,not playing with a full deck (of cards),To lack intelligence or does not have full mental abilities.,0,100,0
301,go nuts,"Someone who has become completely foolish, eccentric or mad.",0,60,40
302,off someone's rocker,Someone who is completely crazy.,0,40,60
303,rats in the attic,Someone who is bit mad or that their behaviour is eccentric.,0,60,40
304,a screw loose,Someone who's behaviour is strange and they appear slightly mad.,0,100,0
305,stark raving mad,Someone whos is completely crazy.,0,60,40
306,stir crazy,Someone who become very agitated or nervous because they have been confined to a place for too long.,0,100,0
307,take leave of someone's senses,To believe someone's behaviour is crazy.,0,80,20
308,back the wrong horse,To support the wrong person.,0,100,0
309,bark up the wrong tree,"To do the wrong thing, because your beliefs or ideas are incorrect or mistaken.",0,80,20
310,botch up/make a botch of,"To spoil something, or make a mess of it, by doing a job badly or incorrectly.",0,100,0
311,eat crow/ eat humble pie,To admit that you were wrong about something and apologize.,20,60,20
312,eat someone's words,To admit that your were mistaken in what you said.,20,40,40
314,himalayan blunder,To stupidly make a serious mistake or error.,0,100,0
315,overshoot the mark,To make a mistake as a result of misjudging something.,0,100,0
316,see the error of someone's ways,To understand that what they have done wrong and accept to change their behaviour.,80,20,0
318,swallow someone's words,To admit that you were wrong.,40,40,20
319,trial and error,Attempting to achieve a satisfactory result by testing and eliminating various methods until the best one is found.,0,0,100
320,wide of the mark,"When something is incorrect or inadequate, or it is not what was expected.",0,60,40
321,black tie event,"A formal event at which men are required to wear a dinner jacket, or tuxedo, and a black bow tie.",0,0,100
322,bow and scrape,To be excessively polite or servile.,40,0,60
323,the done thing,The correct way to behave in a particular social situation.,40,0,60
324,excuse someone's French,An apology for using crude or offensive language.,20,20,60
326,gatecrash,To attend a private social event without being invited.,0,60,40
327,watch someone's language,To warn someone to be careful what they say so as not to upset or offend anyone.,0,60,40
328,mind someone's Ps and Qs,To advise someone to be careful about how they behave and what they say.,20,0,80
329,overstep the mark,To go too far and upset someone by saying something or behaving in a way that is unacceptable.,0,100,0
330,speak out of turn,To intervene at the wrong moment or they say something tactless or inappropriate.,0,100,0
331,stand on ceremony,To behave in a very formal way.,20,0,80
332,take French leave,To leave an official or social event without notifying the person who invited you.,0,80,20
333,time-honoured practice,"A custom that is universally respected, or a traditional way of doing something.",20,0,80
334,achilles heel,"A vulnerable area or a weak spot, in an otherwise strong situation, that could cause one's downfall or failure.",0,100,0
335,alarm bells ringing,"To make someone begin to worry, because it shows that there may be a problem.",0,100,0
336,asking for trouble,To behave so stupidly that he/she is likely to have problems.,0,100,0
337,back to the wall,To be in serious difficulty.,0,100,0
338,ball and chain,A burden or problem that ties you down and prevents you from doing what you want. It can also refer to one's spouse.,0,100,0
339,bane of someone's life,The cause of your problems or your unhappiness.,0,100,0
340,bite off more than someone can chew,"To try to do something that is too difficult for you, or more than you can manage.",0,100,0
341,on the blink,To not work properly and needs servicing or repair.,0,60,40
342,break the back of the beast,To succeed in overcoming a major difficulty.,100,0,0
343,can of worms,"A situation that it is complicated, unpleasant and difficult to deal with.",0,100,0
344,carry the can,"To accept blame or take responsibility for something that goes wrong, even if it is not your fault or only partly.",20,40,40
345,catch 22,"A  frustrating situation where you cannot do one thing without doing a second, and you cannot do the second before doing the first.",0,100,0
346,chill wind,To encounter the problems or trouble it causes.,0,100,0
347,cloud on the horizon,"A problem or difficulty that is predictable, or seems likely to arise in the future.",0,80,20
348,come to a head,A situation reaches a point where action has to be taken.,0,60,40
349,come hell or high water,To do something in spite of the difficulties involved.,60,0,40
350,come out in the wash,To tell someone not to worry about a mistake or problem because it won't have any serious effect and everything will work out all right.,100,0,0
351,cross to bear,To have a serious problem or heavy responsibility that they must accept because they cannot change it.,0,100,0
352,cross that bridge when we come to it,This is another way of saying we will deal with that problem when it occurs and not worry about it before.,40,20,40
353,crux of the matter,The most vital or main part of a problem.,20,0,80
354,dead man walking,"Someone who will inevitably be in great trouble very soon, especially a person who is about to lose their job or position.",0,100,0
355,dodge a bullet,To narrowly avoid a very serious problem or a disaster.,60,20,20
356,elephant in the room,"A problem that no one wants to discuss, but is so abvious that it cannot be ignored.",0,100,0
357,fat hits the fire,"When trouble breaks out, or a situation deteriorates as a result of something said or done.",0,100,0
358,get to the bottom of,You solve it by finding out the true cause of it.,40,0,60
359,go haywire,Where a situation becomes disorganized or goes out of control.,0,100,0
360,go pear-shaped,Where a plan either goes wrong or it produces an undesirable result.,0,100,0
361,go through the mill,"You experience a very difficult period, or are exposed to rough treatment.",0,100,0
362,when the going gets tough,"When faced with a difficult or dangerous situation, strong people take action in order to solve the problem.",40,0,60
363,grasp at straws,"To try any method, even if it has little chance of success, in an attempt to find a solution.",40,60,0
364,hang out to dry,"If you abandon someone who is in difficulty, without giving any assistance or support.",0,100,0
365,high and dry,To find yourself in a difficult situation without help or resources.,0,100,0
366,in dire straits,To be in a very difficult situation.,0,100,0
367,in the lurch,To be in a difficult or embarrassing situation.,0,100,0
368,in over someone's head,To be involved in something that is too difficult for you to handle.,0,100,0
369,juggle frogs,Trying to deal with many different tasks at the tame time and finding the situation difficult.,0,100,0
370,last resort,The last thing you would do if you were desperate and all other courses of action had failed.,0,60,40
371,see light at end of tunnel,To see signs of hope for the future after a long period of difficulty.,100,0,0
372,millstone around someone's neck,A problem or responsibility that becomes a burden and a source of worry.,0,100,0
373,be murder,Something very difficult or uncomfortable.,0,100,0
374,necessary evil,To not like something but you understand that it has to exist and be accepted.,40,60,0
375,one's number is up,"Either a person is in serious difficulty and something bad is going to happen, or the time has come when they will die.",0,100,0
376,ostrich strategy/politics,To choose to ignore or evade an obvious problem in the hope that it will resolve itself or disappear.,20,80,0
377,out of sync,To not be coordinated and are not taking place at the same time or at the same speed.,0,60,40
378,out of whack,Something which does not work properly or is not in good order.,0,100,0
379,paper over the cracks,To conceal a problem rather than dealing with it effectively.,0,100,0
380,pass the buck,To accuse someone of not taking responsibility for a problem and letting others deal with it instead.,0,80,20
381,in a pickle,To be in a difficult situation and need help.,0,100,0
382,quick fix,There is no simple solution.,0,40,60
383,put on a brave face,"When confronted with difficulties, you try to look cheerful and pretend that the situation is not as bad as it is.",60,20,20
384,saved by the bell,When something happens at the last minute to rescue you from a difficult situation.,100,0,0
385,scratch the surface,To deal with only a small part of a problem.,0,40,60
386,where the shoe pinches,An area that is often a source of problems or difficulties.,0,100,0
387,put a spanner in the works,To cause problems and prevent something from happening as planned.,0,100,0
388,spell trouble,To signify possible problems in the future.,0,100,0
389,spiral out of control,"A situation which gets worse or increase continuously, creating a situation that becomes difficult to manage.",0,100,0
390,on a sticky wicket,To find yourself in a situation that is difficult to deal with.,0,100,0
391,stir up a hornet's nest,To do something which causes a commotion and provokes criticism and anger.,0,100,0
392,stop the rot,"When you prevent a situation from deteriorating, especially in business or politics.",80,0,20
393,stumbling block,A problem or obstacle that prevents you from achieving something.,0,100,0
394,take the bull by the horns,When a person decides to act decisively in order to deal with a difficult situation or problem.,80,0,20
